n_cores,n_train,n_test,n_reg,i_loop,time
48,32,32,8,9,0.002391338348388672
48,32,32,8,10,0.002350330352783203
48,64,64,8,0,0.1570267677307129
48,64,64,8,1,0.0025501251220703125
48,64,64,8,2,0.0035200119018554688
48,64,64,8,3,0.002482891082763672
48,64,64,8,4,0.0024666786193847656
48,64,64,8,5,0.0023810863494873047
48,64,64,8,6,0.0023810863494873047
48,64,64,8,7,0.0024330615997314453
48,64,64,8,8,0.0034706592559814453
48,64,64,8,9,0.002424001693725586
48,64,64,8,10,0.0023653507232666016
