n_cores,n_train,n_test,n_reg,i_loop,time
48,4096,4096,8,5,0.3045654296875
48,4096,4096,8,6,0.29458093643188477
48,4096,4096,8,7,0.34894561767578125
48,4096,4096,8,8,0.29710865020751953
48,4096,4096,8,9,0.30785489082336426
48,4096,4096,8,10,0.2926452159881592
48,8192,8192,8,0,1.1830518245697021
48,8192,8192,8,1,1.0923230648040771
48,8192,8192,8,2,1.0282719135284424
48,8192,8192,8,3,1.0652174949645996
48,8192,8192,8,4,0.8944339752197266
48,8192,8192,8,5,0.9951481819152832
48,8192,8192,8,6,0.9215273857116699
48,8192,8192,8,7,1.0725696086883545
48,8192,8192,8,8,0.9268772602081299
48,8192,8192,8,9,0.9428281784057617
48,8192,8192,8,10,0.9244215488433838
48,16384,16384,8,0,4.644460678100586
48,16384,16384,8,1,4.029454946517944
48,16384,16384,8,2,3.411649703979492
48,16384,16384,8,3,3.172217607498169
48,16384,16384,8,4,3.470085382461548
48,16384,16384,8,5,3.6381921768188477
48,16384,16384,8,6,3.776569366455078
48,16384,16384,8,7,4.746425628662109
48,16384,16384,8,8,3.6227502822875977
48,16384,16384,8,9,3.71513032913208
48,16384,16384,8,10,3.7411439418792725
48,32768,32768,8,0,17.52013611793518
48,32768,32768,8,1,17.91851019859314
48,32768,32768,8,2,14.225656986236572
48,32768,32768,8,3,14.696223020553589
48,32768,32768,8,4,15.34859323501587
48,32768,32768,8,5,17.35943078994751
48,32768,32768,8,6,15.585570096969604
48,32768,32768,8,7,19.727319478988647
48,32768,32768,8,8,13.6554114818573
48,32768,32768,8,9,15.265880346298218
48,32768,32768,8,10,16.204083919525146
48,1,1,8,0,0.0026025772094726562
48,1,1,8,1,0.0016405582427978516
48,1,1,8,2,0.0015435218811035156
48,1,1,8,3,0.0015530586242675781
48,1,1,8,4,0.0014865398406982422
48,1,1,8,5,0.0015544891357421875
48,1,1,8,6,0.0016102790832519531
48,1,1,8,7,0.0015568733215332031
48,1,1,8,8,0.0014884471893310547
48,1,1,8,9,0.0015680789947509766
48,1,1,8,10,0.002401590347290039
48,2,2,8,0,0.0046291351318359375
48,2,2,8,1,0.001956939697265625
48,2,2,8,2,0.0018415451049804688
48,2,2,8,3,0.001956462860107422
48,2,2,8,4,0.0018310546875
48,2,2,8,5,0.001811981201171875
48,2,2,8,6,0.0018362998962402344
48,2,2,8,7,0.0018169879913330078
48,2,2,8,8,0.002739429473876953
48,2,2,8,9,0.0018215179443359375
48,2,2,8,10,0.0026390552520751953
48,4,4,8,0,0.004664182662963867
48,4,4,8,1,0.0018756389617919922
48,4,4,8,2,0.001895904541015625
48,4,4,8,3,0.0018906593322753906
48,4,4,8,4,0.00186920166015625
48,4,4,8,5,0.0018260478973388672
48,4,4,8,6,0.001827239990234375
48,4,4,8,7,0.0018520355224609375
48,4,4,8,8,0.0026628971099853516
48,4,4,8,9,0.001863241195678711
48,4,4,8,10,0.002565622329711914
48,8,8,8,0,0.006766319274902344
48,8,8,8,1,0.0018973350524902344
48,8,8,8,2,0.0019176006317138672
48,8,8,8,3,0.001886129379272461
48,8,8,8,4,0.0018780231475830078
48,8,8,8,5,0.0018038749694824219
48,8,8,8,6,0.001861572265625
48,8,8,8,7,0.0018360614776611328
48,8,8,8,8,0.002735614776611328
48,8,8,8,9,0.0018396377563476562
48,8,8,8,10,0.002622842788696289
48,16,16,8,0,0.0057947635650634766
48,16,16,8,1,0.002048492431640625
48,16,16,8,2,0.0019106864929199219
48,16,16,8,3,0.002073526382446289
48,16,16,8,4,0.0018663406372070312
48,16,16,8,5,0.0019719600677490234
48,16,16,8,6,0.0018115043640136719
48,16,16,8,7,0.0019915103912353516
48,16,16,8,8,0.002734661102294922
48,16,16,8,9,0.0020096302032470703
48,16,16,8,10,0.0028133392333984375
48,32,32,8,0,0.007701873779296875
48,32,32,8,1,0.0033648014068603516
48,32,32,8,2,0.003450155258178711
48,32,32,8,3,0.0034492015838623047
48,32,32,8,4,0.003412008285522461
48,32,32,8,5,0.003287792205810547
48,32,32,8,6,0.0033817291259765625
48,32,32,8,7,0.003426790237426758
48,32,32,8,8,0.004122734069824219
48,32,32,8,9,0.0034723281860351562
48,32,32,8,10,0.00437474250793457
48,64,64,8,0,0.006746530532836914
48,64,64,8,1,0.0024080276489257812
48,64,64,8,2,0.0023505687713623047
48,64,64,8,3,0.002429485321044922
48,64,64,8,4,0.0024056434631347656
48,64,64,8,5,0.0023009777069091797
48,64,64,8,6,0.0023856163024902344
48,64,64,8,7,0.0023336410522460938
48,64,64,8,8,0.003268003463745117
48,64,64,8,9,0.00234222412109375
48,64,64,8,10,0.0034813880920410156
