n_cores,n_train,n_test,n_reg,i_loop,time
48,2048,2048,8,6,0.4988226890563965
48,2048,2048,8,7,0.4987332820892334
48,2048,2048,8,8,0.49974775314331055
48,2048,2048,8,9,0.49921488761901855
48,2048,2048,8,10,0.49759912490844727
48,4096,4096,8,0,3.4650070667266846
48,4096,4096,8,1,3.402242660522461
48,4096,4096,8,2,3.390002489089966
48,4096,4096,8,3,3.4162213802337646
48,4096,4096,8,4,3.4402058124542236
48,4096,4096,8,5,3.4140520095825195
48,4096,4096,8,6,3.441845655441284
48,4096,4096,8,7,3.3826730251312256
48,4096,4096,8,8,3.3838932514190674
48,4096,4096,8,9,3.3843765258789062
48,4096,4096,8,10,3.381965398788452
48,8192,8192,8,0,26.03979253768921
48,8192,8192,8,1,25.740232467651367
48,8192,8192,8,2,25.695688247680664
48,8192,8192,8,3,25.642460346221924
48,8192,8192,8,4,25.615346670150757
48,8192,8192,8,5,25.655138969421387
48,8192,8192,8,6,25.524701833724976
48,8192,8192,8,7,25.581083059310913
48,8192,8192,8,8,25.534381866455078
48,8192,8192,8,9,25.622233152389526
48,8192,8192,8,10,25.443674087524414
48,16384,16384,8,0,218.94536018371582
48,16384,16384,8,1,215.14112281799316
48,16384,16384,8,2,210.97404217720032
48,16384,16384,8,3,213.78252363204956
48,16384,16384,8,4,211.66410040855408
48,16384,16384,8,5,212.23953413963318
48,16384,16384,8,6,211.91267728805542
48,16384,16384,8,7,212.32948970794678
48,16384,16384,8,8,211.82206749916077
48,16384,16384,8,9,210.8508539199829
48,16384,16384,8,10,211.3508563041687
48,1,1,8,0,0.03202199935913086
48,1,1,8,1,0.01136469841003418
48,1,1,8,2,0.011584043502807617
48,1,1,8,3,0.011369943618774414
48,1,1,8,4,0.011318206787109375
48,1,1,8,5,0.011311531066894531
48,1,1,8,6,0.011321783065795898
48,1,1,8,7,0.01154327392578125
48,1,1,8,8,0.011235237121582031
48,1,1,8,9,0.011253118515014648
48,1,1,8,10,0.01124262809753418
48,2,2,8,0,0.03194093704223633
48,2,2,8,1,0.011197805404663086
48,2,2,8,2,0.011375665664672852
48,2,2,8,3,0.01111292839050293
48,2,2,8,4,0.011136531829833984
48,2,2,8,5,0.01112675666809082
48,2,2,8,6,0.011059999465942383
48,2,2,8,7,0.011442422866821289
48,2,2,8,8,0.011133193969726562
48,2,2,8,9,0.011066913604736328
48,2,2,8,10,0.010983467102050781
48,4,4,8,0,0.03190135955810547
48,4,4,8,1,0.011296749114990234
48,4,4,8,2,0.01155400276184082
48,4,4,8,3,0.011234045028686523
48,4,4,8,4,0.011232137680053711
48,4,4,8,5,0.011242866516113281
48,4,4,8,6,0.011196374893188477
48,4,4,8,7,0.011539936065673828
48,4,4,8,8,0.01122903823852539
48,4,4,8,9,0.011221647262573242
48,4,4,8,10,0.011175870895385742
48,8,8,8,0,0.032157182693481445
48,8,8,8,1,0.011320352554321289
48,8,8,8,2,0.011470317840576172
48,8,8,8,3,0.011218786239624023
48,8,8,8,4,0.011210918426513672
48,8,8,8,5,0.011325836181640625
48,8,8,8,6,0.011175870895385742
48,8,8,8,7,0.011520624160766602
48,8,8,8,8,0.011118173599243164
48,8,8,8,9,0.011126995086669922
48,8,8,8,10,0.011161088943481445
48,16,16,8,0,0.0320587158203125
48,16,16,8,1,0.01135706901550293
48,16,16,8,2,0.011690616607666016
48,16,16,8,3,0.011336803436279297
48,16,16,8,4,0.011341333389282227
48,16,16,8,5,0.011367559432983398
48,16,16,8,6,0.011247634887695312
48,16,16,8,7,0.011616706848144531
48,16,16,8,8,0.011334657669067383
