n_cores,n_train,n_test,n_tiles,n_reg,i_loop,time
48,256,256,4,8,9,0.0062465667724609375
48,512,512,4,8,0,0.028441190719604492
48,512,512,4,8,1,0.016252756118774414
48,512,512,4,8,2,0.013379096984863281
48,512,512,4,8,3,0.011499404907226562
48,512,512,4,8,4,0.011076927185058594
48,512,512,4,8,5,0.01107168197631836
48,512,512,4,8,6,0.011984825134277344
48,512,512,4,8,7,0.011041402816772461
48,512,512,4,8,8,0.01093745231628418
48,512,512,4,8,9,0.01033639907836914
48,1024,1024,4,8,0,0.062330007553100586
48,1024,1024,4,8,1,0.040430545806884766
48,1024,1024,4,8,2,0.03384232521057129
48,1024,1024,4,8,3,0.03238272666931152
48,1024,1024,4,8,4,0.03301858901977539
48,1024,1024,4,8,5,0.03213667869567871
48,1024,1024,4,8,6,0.029895305633544922
48,1024,1024,4,8,7,0.032163381576538086
48,1024,1024,4,8,8,0.032477617263793945
48,1024,1024,4,8,9,0.032332420349121094
48,2048,2048,4,8,0,0.23761916160583496
48,2048,2048,4,8,1,0.15668129920959473
48,2048,2048,4,8,2,0.15067791938781738
48,2048,2048,4,8,3,0.14721417427062988
48,2048,2048,4,8,4,0.1440877914428711
48,2048,2048,4,8,5,0.14850687980651855
48,2048,2048,4,8,6,0.16568565368652344
48,2048,2048,4,8,7,0.1589200496673584
48,2048,2048,4,8,8,0.1545407772064209
48,2048,2048,4,8,9,0.1465282440185547
48,4096,4096,4,8,0,1.0620291233062744
48,4096,4096,4,8,1,0.8376049995422363
48,4096,4096,4,8,2,0.7472355365753174
48,4096,4096,4,8,3,0.8187704086303711
48,4096,4096,4,8,4,0.8266000747680664
48,4096,4096,4,8,5,0.8374752998352051
48,4096,4096,4,8,6,0.8369340896606445
48,4096,4096,4,8,7,0.817094087600708
48,4096,4096,4,8,8,0.785752534866333
48,4096,4096,4,8,9,0.8125653266906738
48,8192,8192,4,8,0,8.065432786941528
48,8192,8192,4,8,1,7.686410665512085
48,8192,8192,4,8,2,7.5041749477386475
48,8192,8192,4,8,3,7.728954315185547
48,8192,8192,4,8,4,8.023035764694214
48,8192,8192,4,8,5,7.671550273895264
