n_cores,n_train,n_test,n_reg,i_loop,time
48,8192,8192,8,3,15.184983015060425
48,8192,8192,8,4,15.479707956314087
48,8192,8192,8,5,14.394690990447998
48,8192,8192,8,6,15.27346420288086
48,8192,8192,8,7,14.863223791122437
48,8192,8192,8,8,15.554595232009888
48,8192,8192,8,9,15.050739288330078
48,8192,8192,8,10,14.675847291946411
48,16384,16384,8,0,66.63798832893372
48,16384,16384,8,1,70.69795942306519
48,16384,16384,8,2,72.23544335365295
48,16384,16384,8,3,72.11546802520752
48,16384,16384,8,4,71.61655902862549
48,16384,16384,8,5,71.06630611419678
48,16384,16384,8,6,69.20794892311096
48,16384,16384,8,7,71.84091091156006
48,16384,16384,8,8,73.93554544448853
48,16384,16384,8,9,72.81098937988281
48,16384,16384,8,10,68.86280274391174
48,32768,32768,8,0,436.51246786117554
48,32768,32768,8,1,440.59827971458435
48,32768,32768,8,2,445.64854669570923
48,32768,32768,8,3,440.38882064819336
48,32768,32768,8,4,441.6669805049896
48,32768,32768,8,5,443.6891529560089
48,32768,32768,8,6,446.4016044139862
48,32768,32768,8,7,445.1591246128082
48,32768,32768,8,8,446.3646686077118
48,32768,32768,8,9,439.7378611564636
48,32768,32768,8,10,440.1219480037689
