n_cores,n_train,n_test,n_reg,i_loop,time
48,64,64,8,7,0.0022432804107666016
48,64,64,8,8,0.0022284984588623047
48,64,64,8,9,0.0022153854370117188
48,64,64,8,10,0.0022253990173339844
48,128,128,8,0,0.16242766380310059
48,128,128,8,1,0.002524852752685547
48,128,128,8,2,0.003046751022338867
48,128,128,8,3,0.0024662017822265625
48,128,128,8,4,0.0023648738861083984
48,128,128,8,5,0.002398252487182617
48,128,128,8,6,0.0023555755615234375
48,128,128,8,7,0.002382993698120117
48,128,128,8,8,0.002712249755859375
48,128,128,8,9,0.002369403839111328
48,128,128,8,10,0.0023546218872070312
48,256,256,8,0,0.1642613410949707
48,256,256,8,1,0.002967357635498047
48,256,256,8,2,0.0037508010864257812
48,256,256,8,3,0.0028922557830810547
48,256,256,8,4,0.0028226375579833984
48,256,256,8,5,0.0028007030487060547
48,256,256,8,6,0.002782583236694336
48,256,256,8,7,0.002812623977661133
48,256,256,8,8,0.0027887821197509766
48,256,256,8,9,0.0027914047241210938
48,256,256,8,10,0.0028052330017089844
48,512,512,8,0,0.16647934913635254
48,512,512,8,1,0.003942966461181641
48,512,512,8,2,0.00442814826965332
48,512,512,8,3,0.003868579864501953
48,512,512,8,4,0.003824472427368164
48,512,512,8,5,0.0037832260131835938
48,512,512,8,6,0.0038046836853027344
48,512,512,8,7,0.003789186477661133
48,512,512,8,8,0.004821300506591797
48,512,512,8,9,0.0037755966186523438
48,512,512,8,10,0.003793954849243164
48,1024,1024,8,0,0.4442477226257324
48,1024,1024,8,1,0.014655113220214844
48,1024,1024,8,2,0.014480829238891602
48,1024,1024,8,3,0.01447916030883789
48,1024,1024,8,4,0.014419078826904297
48,1024,1024,8,5,0.014536380767822266
48,1024,1024,8,6,0.014478683471679688
48,1024,1024,8,7,0.014500141143798828
48,1024,1024,8,8,0.014460325241088867
48,1024,1024,8,9,0.014443635940551758
48,1024,1024,8,10,0.014425516128540039
48,2048,2048,8,0,0.5196433067321777
48,2048,2048,8,1,0.07511591911315918
48,2048,2048,8,2,0.07527303695678711
48,2048,2048,8,3,0.07462167739868164
48,2048,2048,8,4,0.05713033676147461
48,2048,2048,8,5,0.05684542655944824
48,2048,2048,8,6,0.05801892280578613
48,2048,2048,8,7,0.05713176727294922
48,2048,2048,8,8,0.05686211585998535
48,2048,2048,8,9,0.05708742141723633
48,2048,2048,8,10,0.05703091621398926
48,4096,4096,8,0,0.7723183631896973
48,4096,4096,8,1,0.3007352352142334
48,4096,4096,8,2,0.3021552562713623
48,4096,4096,8,3,0.301466703414917
48,4096,4096,8,4,0.30262327194213867
48,4096,4096,8,5,0.30169034004211426
48,4096,4096,8,6,0.30135393142700195
48,4096,4096,8,7,0.3017618656158447
48,4096,4096,8,8,0.30165743827819824
48,4096,4096,8,9,0.3036308288574219
48,4096,4096,8,10,0.30148839950561523
48,8192,8192,8,0,2.508255958557129
48,8192,8192,8,1,2.061216115951538
48,8192,8192,8,2,2.063018321990967
48,8192,8192,8,3,2.0698158740997314
48,8192,8192,8,4,2.069746255874634
48,8192,8192,8,5,2.0692269802093506
48,8192,8192,8,6,2.0722389221191406
48,8192,8192,8,7,2.0729000568389893
48,8192,8192,8,8,2.075051784515381
48,8192,8192,8,9,2.0750365257263184
48,8192,8192,8,10,2.078909397125244
