n_cores,n_train,n_test,n_tiles,n_reg,n_streams,i_loop,time
48,16384,16384,1,8,16,1,2.3065249919891357
48,16384,16384,1,8,16,2,2.3062078952789307
48,16384,16384,1,8,16,3,2.3044753074645996
48,16384,16384,1,8,16,4,2.3007302284240723
48,16384,16384,1,8,16,5,2.3042867183685303
48,16384,16384,1,8,16,6,2.3012471199035645
48,16384,16384,1,8,16,7,2.306971549987793
48,16384,16384,1,8,16,8,2.3061506748199463
48,16384,16384,1,8,16,9,2.30114483833313
48,16384,16384,1,8,16,10,2.3092050552368164
48,16384,16384,1,8,32,0,2.4465250968933105
48,16384,16384,1,8,32,1,2.329493999481201
48,16384,16384,1,8,32,2,2.3255867958068848
48,16384,16384,1,8,32,3,2.327780246734619
48,16384,16384,1,8,32,4,2.324134349822998
48,16384,16384,1,8,32,5,2.3225350379943848
48,16384,16384,1,8,32,6,2.328916549682617
48,16384,16384,1,8,32,7,2.3242979049682617
48,16384,16384,1,8,32,8,2.323693037033081
48,16384,16384,1,8,32,9,2.323643922805786
48,16384,16384,1,8,32,10,2.3243887424468994
48,16384,16384,1,8,64,0,2.4489359855651855
48,16384,16384,1,8,64,1,2.3699512481689453
48,16384,16384,1,8,64,2,2.3609962463378906
48,16384,16384,1,8,64,3,2.364834785461426
48,16384,16384,1,8,64,4,2.366377115249634
48,16384,16384,1,8,64,5,2.3624730110168457
48,16384,16384,1,8,64,6,2.3580827713012695
48,16384,16384,1,8,64,7,2.3667256832122803
48,16384,16384,1,8,64,8,2.362600326538086
48,16384,16384,1,8,64,9,2.3676483631134033
48,16384,16384,1,8,64,10,2.3586537837982178
48,16384,16384,1,8,128,0,2.4592771530151367
48,16384,16384,1,8,128,1,2.434715509414673
48,16384,16384,1,8,128,2,2.443356990814209
48,16384,16384,1,8,128,3,2.4355885982513428
48,16384,16384,1,8,128,4,2.442681074142456
48,16384,16384,1,8,128,5,2.4399516582489014
48,16384,16384,1,8,128,6,2.4402716159820557
48,16384,16384,1,8,128,7,2.4414925575256348
48,16384,16384,1,8,128,8,2.438511848449707
48,16384,16384,1,8,128,9,2.4345672130584717
48,16384,16384,1,8,128,10,2.4325473308563232
48,16384,16384,2,8,1,0,2.375157356262207
48,16384,16384,2,8,1,1,2.2217020988464355
48,16384,16384,2,8,1,2,2.2245774269104004
48,16384,16384,2,8,1,3,2.2271311283111572
