n_cores,n_train,n_test,n_tiles,n_reg,i_loop,time
6,16384,16384,64,8,1,9.62842082977295
6,16384,16384,64,8,2,9.877402067184448
6,16384,16384,64,8,3,9.99651312828064
6,16384,16384,64,8,4,9.702824831008911
6,16384,16384,64,8,5,9.863107442855835
6,16384,16384,64,8,6,9.691162109375
6,16384,16384,64,8,7,9.876940965652466
6,16384,16384,64,8,8,9.85543441772461
6,16384,16384,64,8,9,9.878289222717285
6,16384,16384,64,8,10,9.953438520431519
6,16384,16384,128,8,0,27.838246822357178
6,16384,16384,128,8,1,26.874173641204834
6,16384,16384,128,8,2,25.955220460891724
6,16384,16384,128,8,3,25.854565382003784
6,16384,16384,128,8,4,25.844894647598267
6,16384,16384,128,8,5,26.144097566604614
6,16384,16384,128,8,6,25.747535467147827
6,16384,16384,128,8,7,26.182714462280273
6,16384,16384,128,8,8,26.023074626922607
6,16384,16384,128,8,9,20.09421420097351
6,16384,16384,128,8,10,26.28886079788208
12,16384,16384,1,8,0,300.65423035621643
12,16384,16384,1,8,1,314.8722629547119
12,16384,16384,1,8,2,299.6153829097748
12,16384,16384,1,8,3,304.7552762031555
12,16384,16384,1,8,4,302.4463846683502
12,16384,16384,1,8,5,299.9682104587555
12,16384,16384,1,8,6,302.5725128650665
12,16384,16384,1,8,7,295.75114846229553
12,16384,16384,1,8,8,308.91212916374207
12,16384,16384,1,8,9,307.1616394519806
12,16384,16384,1,8,10,296.87665605545044
12,16384,16384,2,8,0,119.7194471359253
12,16384,16384,2,8,1,100.79806113243103
12,16384,16384,2,8,2,93.13260912895203
12,16384,16384,2,8,3,104.22037291526794
12,16384,16384,2,8,4,91.50925278663635
12,16384,16384,2,8,5,87.54129195213318
12,16384,16384,2,8,6,86.56516313552856
12,16384,16384,2,8,7,88.67530703544617
12,16384,16384,2,8,8,89.03210353851318
12,16384,16384,2,8,9,87.47395372390747
12,16384,16384,2,8,10,103.55501294136047
12,16384,16384,4,8,0,42.11575675010681
